vision,v ɪ ʒ ə n,56
vital,v aɪ t ə l,56
wage,w eɪ dʒ,56
wheel,w i l,56
wild,w aɪ l d,56
artists,ɑ ɹ t ə s t s,55
begins,b ɪ ɡ ɪ n z,55
britain,b ɹ ɪ t ə n,55
components,k ə m p oʊ n ə n t s,55
conduct,k ə n d ʌ k t,55
conducted,k ə n d ʌ k t ə d,55
cross,k ɹ ɔ s,55
cultural,k ʌ l tʃ ɝ ə l,55
demands,d ɪ m æ n d z,55
device,d ɪ v aɪ s,55
divided,d ɪ v aɪ d ə d,55
executive,ɪ ɡ z ɛ k j ə t ɪ v,55
extended,ɪ k s t ɛ n d ə d,55
firms,f ɝ m z,55
fort,f ɔ ɹ t,55
games,ɡ eɪ m z,55
generation,dʒ ɛ n ɝ eɪ ʃ ə n,55
huge,h j u dʒ,55
identity,aɪ d ɛ n t ə t i,55
improved,ɪ m p ɹ u v d,55
inner,ɪ n ɝ,55
item,aɪ t ə m,55
joe,dʒ oʊ,55
joseph,dʒ oʊ s ə f,55
marine,m ɝ i n,55
martin,m ɑ ɹ t ə n,55
minute,m ɪ n ə t,55
motion,m oʊ ʃ ə n,55
pick,p ɪ k,55
plenty,p l ɛ n t i,55
properly,p ɹ ɑ p ɝ l i,55
publication,p ʌ b l ɪ k eɪ ʃ ə n,55
rooms,ɹ u m z,55
runs,ɹ ʌ n z,55
sought,s ɔ t,55
sounds,s aʊ n d z,55
tall,t ɔ l,55
theme,θ i m,55
wagon,w æ ɡ ə n,55
win,w ɪ n,55
wished,w ɪ ʃ t,55
wood,w ʊ d,55
worry,w ɝ i,55
yellow,j ɛ l oʊ,55
attend,ə t ɛ n d,54
create,k ɹ i eɪ t,54
dear,d ɪ ɹ,54
decisions,d ɪ s ɪ ʒ ə n z,54
description,d ɪ s k ɹ ɪ p ʃ ə n,54
faced,f eɪ s t,54
forget,f ɝ ɡ ɛ t,54
interpretation,ɪ n t ɝ p ɹ ɪ t eɪ ʃ ə n,54
jews,dʒ u z,54
lake,l eɪ k,54
machines,m ə ʃ i n z,54
measurements,m ɛ ʒ ɝ m ə n t s,54
phone,f oʊ n,54
positions,p ə z ɪ ʃ ə n z,54
preparation,p ɹ ɛ p ɝ eɪ ʃ ə n,54
putting,p ʌ t ɪ ŋ,54
republican,ɹ ɪ p ʌ b l ɪ k ə n,54
risk,ɹ ɪ s k,54
rural,ɹ ʊ ɹ ə l,54
seat,s i t,54
smith,s m ɪ θ,54
soil,s ɔɪ l,54
suggest,s ə ɡ dʒ ɛ s t,54
supported,s ə p ɔ ɹ t ə d,54
symbol,s ɪ m b ə l,54
thoughts,θ ɔ t s,54
trained,t ɹ eɪ n d,54
unable,ə n eɪ b ə l,54
walking,w ɔ k ɪ ŋ,54
absence,æ b s ə n s,53
administrative,ə d m ɪ n ə s t ɹ eɪ t ɪ v,53
advanced,ə d v æ n s t,53
assigned,ə s aɪ n d,53
august,ɑ ɡ ə s t,53
band,b æ n d,53
bitter,b ɪ t ɝ,53
breakfast,b ɹ ɛ k f ə s t,53
breath,b ɹ ɛ θ,53
chest,tʃ ɛ s t,53
content,k ɑ n t ɛ n t,53
crowd,k ɹ aʊ d,53
depth,d ɛ p θ,53
disease,d ɪ z i z,53
driving,d ɹ aɪ v ɪ ŋ,53
examples,ɪ ɡ z æ m p ə l z,53
experienced,ɪ k s p ɪ ɹ i ə n s t,53
experiences,ɪ k s p ɪ ɹ i ə n s ɪ z,53
finding,f aɪ n d ɪ ŋ,53
grass,ɡ ɹ æ s,53
handle,h æ n d ə l,53
hudson,h ʌ d s ə n,53
january,dʒ æ n j u ɛ ɹ i,53
japanese,dʒ æ p ə n i z,53
largest,l ɑ ɹ dʒ ə s t,53
loose,l u s,53
negative,n ɛ ɡ ə t ɪ v,53
payment,p eɪ m ə n t,53
percent,p ɝ s ɛ n t,53
practically,p ɹ æ k t ə k l i,53
practices,p ɹ æ k t ə s ə z,53
prove,p ɹ u v,53
pushed,p ʊ ʃ t,53
remarks,ɹ ɪ m ɑ ɹ k s,53
sin,s ɪ n,53
slight,s l aɪ t,53
spend,s p ɛ n d,53
troops,t ɹ u p s,53
vehicles,v i h ɪ k ə l z,53
version,v ɝ ʒ ə n,53
welfare,w ɛ l f ɛ ɹ,53
wet,w ɛ t,53
windows,w ɪ n d oʊ z,53
wonderful,w ʌ n d ɝ f ə l,53
advice,æ d v aɪ s,52
alfred,æ l f ɹ ə d,52
bedroom,b ɛ d ɹ u m,52
centers,s ɛ n t ɝ z,52
characteristics,k ɛ ɹ ə k t ɝ ɪ s t ɪ k s,52
colors,k ʌ l ɝ z,52
conflict,k ɑ n f l ɪ k t,52
contrary,k ɑ n t ɹ ɛ ɹ i,52
correct,k ɝ ɛ k t,52
detailed,d ɪ t eɪ l d,52
detective,d ɪ t ɛ k t ɪ v,52
developing,d ɪ v ɛ l ə p ɪ ŋ,52
dozen,d ʌ z ə n,52
element,ɛ l ə m ə n t,52
establishment,ɪ s t æ b l ɪ ʃ m ə n t,52
eventually,ɪ v ɛ n tʃ ə w ə l i,52
flesh,f l ɛ ʃ,52
gold,ɡ oʊ l d,52
hero,h ɪ ɹ oʊ,52
indian,ɪ n d i ə n,52
introduced,ɪ n t ɹ ə d u s t,52
la,l ɑ,52
raise,ɹ eɪ z,52
silence,s aɪ l ə n s,52
telling,t ɛ l ɪ ŋ,52
theater,θ i ə t ɝ,52
trust,t ɹ ʌ s t,52
widely,w aɪ d l i,52
abroad,ə b ɹ ɔ d,51
achieve,ə tʃ i v,51
ages,eɪ dʒ ə z,51
agree,ə ɡ ɹ i,51
angle,æ ŋ ɡ ə l,51
approval,ə p ɹ u v ə l,51
arthur,ɑ ɹ θ ɝ,51
begun,b ɪ ɡ ʌ n,51
boats,b oʊ t s,51
conventional,k ə n v ɛ n ʃ ə n ə l,51
cousin,k ʌ z ə n,51
david,d eɪ v ɪ d,51
devoted,d ɪ v oʊ t ə d,51
easier,i z i ɝ,51
elections,ɪ l ɛ k ʃ ə n z,51
estate,ɪ s t eɪ t,51
foods,f u d z,51
gradually,ɡ ɹ æ dʒ u ə l i,51
guy,ɡ aɪ,51
investigation,ɪ n v ɛ s t ə ɡ eɪ ʃ ə n,51
laughed,l æ f t,51
listen,l ɪ s ə n,51
los,l oʊ s,51
necessarily,n ɛ s ə s ɛ ɹ ə l i,51
nodded,n ɑ d ə d,51
october,ɑ k t oʊ b ɝ,51
opportunities,ɑ p ɝ t u n ə t i z,51
papers,p eɪ p ɝ z,51
player,p l eɪ ɝ,51
protestant,p ɹ ɑ t ə s t ə n t,51
pull,p ʊ l,51
rear,ɹ ɪ ɹ,51
shoulders,ʃ oʊ l d ɝ z,51
sick,s ɪ k,51
situations,s ɪ tʃ u eɪ ʃ ə n z,51
stages,s t eɪ dʒ ə z,51
stream,s t ɹ i m,51
supreme,s ə p ɹ i m,51
surprise,s ɝ p ɹ aɪ z,51
throat,θ ɹ oʊ t,51
uniform,j u n ə f ɔ ɹ m,51
views,v j u z,51
warren,w ɔ ɹ ə n,51
waves,w eɪ v z,51
advertising,æ d v ɝ t aɪ z ɪ ŋ,50
assembly,ə s ɛ m b l i,50
automobile,ɔ t ə m oʊ b i l,50
brilliant,b ɹ ɪ l j ə n t,50
chain,tʃ eɪ n,50
childhood,tʃ aɪ l d h ʊ d,50
choose,tʃ u z,50
conversation,k ɑ n v ɝ s eɪ ʃ ə n,50
conviction,k ə n v ɪ k ʃ ə n,50
convinced,k ə n v ɪ n s t,50
courts,k ɔ ɹ t s,50
desired,d ɪ z aɪ ɝ d,50
efficiency,ɪ f ɪ ʃ ə n s i,50
eisenhower,aɪ z ə n h aʊ ɝ,50
engine,ɛ n dʒ ə n,50
expense,ɪ k s p ɛ n s,50
extra,ɛ k s t ɹ ə,50
extremely,ɪ k s t ɹ i m l i,50
female,f i m eɪ l,50
fill,f ɪ l,50
fundamental,f ʌ n d ə m ɛ n t ə l,50
hills,h ɪ l z,50
institute,ɪ n s t ə t u t,50
issued,ɪ ʃ u d,50
knowing,n oʊ ɪ ŋ,50
latin,l æ t ə n,50
massachusetts,m æ s ə tʃ u s ə t s,50
mention,m ɛ n ʃ ə n,50
moments,m oʊ m ə n t s,50
motors,m oʊ t ɝ z,50
noticed,n oʊ t ə s t,50
pair,p ɛ ɹ,50
philadelphia,f ɪ l ə d ɛ l f i ə,50
proud,p ɹ aʊ d,50
strike,s t ɹ aɪ k,50
taught,t ɔ t,50
television,t ɛ l ə v ɪ ʒ ə n,50
tiny,t aɪ n i,50
towns,t aʊ n z,50
welcome,w ɛ l k ə m,50
wooden,w ʊ d ə n,50
worse,w ɝ s,50
acceptance,æ k s ɛ p t ə n s,49
burning,b ɝ n ɪ ŋ,49
consideration,k ə n s ɪ d ɝ eɪ ʃ ə n,49
constitution,k ɑ n s t ə t u ʃ ə n,49
count,k aʊ n t,49
creative,k ɹ i eɪ t ɪ v,49
depends,d ɪ p ɛ n d z,49
driver,d ɹ aɪ v ɝ,49
employed,ɛ m p l ɔɪ d,49
firmly,f ɝ m l i,49
holy,h oʊ l i,49
hopes,h oʊ p s,49
impressive,ɪ m p ɹ ɛ s ɪ v,49
incident,ɪ n s ə d ə n t,49
leaves,l i v z,49
measures,m ɛ ʒ ɝ z,49
milk,m ɪ l k,49
millions,m ɪ l j ə n z,49
operator,ɑ p ɝ eɪ t ɝ,49
partly,p ɑ ɹ t l i,49
passage,p æ s ə dʒ,49
payments,p eɪ m ə n t s,49
quietly,k w aɪ ə t l i,49
request,ɹ ɪ k w ɛ s t,49
ride,ɹ aɪ d,49
silent,s aɪ l ə n t,49
speaker,s p i k ɝ,49
sports,s p ɔ ɹ t s,49
tendency,t ɛ n d ə n s i,49
till,t ɪ l,49
tragedy,t ɹ æ dʒ ə d i,49
anger,æ ŋ ɡ ɝ,48
attitudes,æ t ə t u d z,48
charlie,tʃ ɑ ɹ l i,48
comparison,k ə m p ɛ ɹ ə s ə n,48
concrete,k ə n k ɹ i t,48
cry,k ɹ aɪ,48
destroy,d ɪ s t ɹ ɔɪ,48
drinking,d ɹ ɪ ŋ k ɪ ŋ,48
formal,f ɔ ɹ m ə l,48
functions,f ʌ ŋ k ʃ ə n z,48
grand,ɡ ɹ æ n d,48
guard,ɡ ɑ ɹ d,48
hearst,h ɝ s t,48
hoped,h oʊ p t,48
integration,ɪ n t ə ɡ ɹ eɪ ʃ ə n,48
intelligence,ɪ n t ɛ l ə dʒ ə n s,48
limit,l ɪ m ə t,48
liquid,l ɪ k w ə d,48
maintained,m eɪ n t eɪ n d,48
mantle,m æ n t ə l,48
mile,m aɪ l,48
missile,m ɪ s ə l,48
occasionally,ə k eɪ ʒ ə n ə l i,48
operate,ɑ p ɝ eɪ t,48
personality,p ɝ s ə n æ l ɪ t i,48
pink,p ɪ ŋ k,48
plain,p l eɪ n,48
poem,p oʊ ə m,48
precisely,p ɹ ɪ s aɪ s l i,48
resistance,ɹ ɪ z ɪ s t ə n s,48
rolled,ɹ oʊ l d,48
royal,ɹ ɔɪ ə l,48
screen,s k ɹ i n,48
shooting,ʃ u t ɪ ŋ,48
sorry,s ɑ ɹ i,48
suit,s u t,48
swung,s w ʌ ŋ,48
tired,t aɪ ɝ d,48
twelve,t w ɛ l v,48
via,v aɪ ə,48
angeles,æ n dʒ ə l ɪ s,47
aspect,æ s p ɛ k t,47
bills,b ɪ l z,47
blind,b l aɪ n d,47
boards,b ɔ ɹ d z,47
bonds,b ɑ n d z,47
concentration,k ɑ n s ə n t ɹ eɪ ʃ ə n,47
congregation,k ɑ ŋ ɡ ɹ ə ɡ eɪ ʃ ə n,47
considering,k ə n s ɪ d ɝ ɪ ŋ,47
cook,k ʊ k,47
cuba,k j u b ə,47
denied,d ɪ n aɪ d,47
deny,d ɪ n aɪ,47
employment,ɛ m p l ɔɪ m ə n t,47
engaged,ɛ n ɡ eɪ dʒ d,47
essentially,ɪ s ɛ n ʃ ə l i,47
everywhere,ɛ v ɹ i w ɛ ɹ,47
expansion,ɪ k s p æ n ʃ ə n,47
expenses,ɪ k s p ɛ n s ə z,47
fears,f ɪ ɹ z,47
grant,ɡ ɹ æ n t,47
honest,ɑ n ə s t,47
humor,h j u m ɝ,47
instrument,ɪ n s t ɹ ə m ə n t,47
italian,ɪ t æ l j ə n,47
lights,l aɪ t s,47
lincoln,l ɪ ŋ k ə n,47
luck,l ʌ k,47
mail,m eɪ l,47
manufacturers,m æ n j ə f æ k tʃ ɝ ɝ z,47
mere,m ɪ ɹ,47
models,m ɑ d ə l z,47
moscow,m ɑ s k oʊ,47
movements,m u v m ə n t s,47
northern,n ɔ ɹ ð ɝ n,47
numerous,n u m ɝ ə s,47
opera,ɑ p ɹ ə,47
patterns,p æ t ɝ n z,47
periods,p ɪ ɹ i ə d z,47
prior,p ɹ aɪ ɝ,47
provision,p ɹ ə v ɪ ʒ ə n,47
purchase,p ɝ tʃ ə s,47
remarkable,ɹ ɪ m ɑ ɹ k ə b ə l,47
representative,ɹ ɛ p ɹ ə z ɛ n t ə t ɪ v,47
ring,ɹ ɪ ŋ,47
safety,s eɪ f t i,47
singing,s ɪ ŋ ɪ ŋ,47
skin,s k ɪ n,47
sold,s oʊ l d,47
soul,s oʊ l,47
stairs,s t ɛ ɹ z,47
supplies,s ə p l aɪ z,47
surely,ʃ ʊ ɹ l i,47
testimony,t ɛ s t ə m oʊ n i,47
thousands,θ aʊ z ə n d z,47
unknown,ə n n oʊ n,47
vacation,v eɪ k eɪ ʃ ə n,47
wearing,w ɛ ɹ ɪ ŋ,47
anyway,ɛ n i w eɪ,46
artery,ɑ ɹ t ɝ i,46
atomic,ə t ɑ m ɪ k,46
author,ɔ θ ɝ,46
avenue,æ v ə n u,46
award,ə w ɔ ɹ d,46
bond,b ɑ n d,46
centuries,s ɛ n tʃ ɝ i z,46
chamber,tʃ eɪ m b ɝ,46
conscious,k ɑ n ʃ ə s,46
creation,k ɹ i eɪ ʃ ə n,46
curious,k j ʊ ɹ i ə s,46
dangerous,d eɪ n dʒ ɝ ə s,46
decade,d ɛ k eɪ d,46
difficulties,d ɪ f ə k ə l t i z,46
doctrine,d ɑ k t ɹ ə n,46
dollar,d ɑ l ɝ,46
electrical,ɪ l ɛ k t ɹ ɪ k ə l,46
encourage,ɛ n k ɝ ɪ dʒ,46
engineering,ɛ n dʒ ə n ɪ ɹ ɪ ŋ,46
equivalent,ɪ k w ɪ v ə l ə n t,46
fiction,f ɪ k ʃ ə n,46
flight,f l aɪ t,46
fought,f ɔ t,46
georgia,dʒ ɔ ɹ dʒ ə,46
identified,aɪ d ɛ n t ə f aɪ d,46
insurance,ɪ n ʃ ʊ ɹ ə n s,46
legislation,l ɛ dʒ ə s l eɪ ʃ ə n,46
liberty,l ɪ b ɝ t i,46
loan,l oʊ n,46
losses,l ɔ s ə z,46
native,n eɪ t ɪ v,46
opposition,ɑ p ə z ɪ ʃ ə n,46
panels,p æ n ə l z,46
percentage,p ɝ s ɛ n t ə dʒ,46
pocket,p ɑ k ə t,46
precision,p ɹ i s ɪ ʒ ə n,46
recommended,ɹ ɛ k ə m ɛ n d ə d,46
relative,ɹ ɛ l ə t ɪ v,46
salt,s ɔ l t,46
seriously,s ɪ ɹ i ə s l i,46
shares,ʃ ɛ ɹ z,46
shut,ʃ ʌ t,46
superior,s u p ɪ ɹ i ɝ,46
threw,θ ɹ u,46
trend,t ɹ ɛ n d,46
violence,v aɪ ə l ə n s,46
wave,w eɪ v,46
weakness,w i k n ə s,46
wright,ɹ aɪ t,46
adopted,ə d ɑ p t ə d,45
africa,æ f ɹ ə k ə,45
alexander,æ l ə ɡ z æ n d ɝ,45
angry,æ ŋ ɡ ɹ i,45
approached,ə p ɹ oʊ tʃ t,45
ballet,b æ l eɪ,45
brain,b ɹ eɪ n,45
calling,k ɔ l ɪ ŋ,45
cast,k æ s t,45
charges,tʃ ɑ ɹ dʒ ə z,45
contain,k ə n t eɪ n,45
containing,k ə n t eɪ n ɪ ŋ,45
cup,k ʌ p,45
curve,k ɝ v,45
depend,d ɪ p ɛ n d,45
diameter,d aɪ æ m ə t ɝ,45
discovery,d ɪ s k ʌ v ɝ i,45
edward,ɛ d w ɝ d,45
elsewhere,ɛ l s w ɛ ɹ,45
expenditures,ɪ k s p ɛ n d ə tʃ ɝ z,45
february,f ɛ b j ə w ɛ ɹ i,45
feels,f i l z,45
ice,aɪ s,45
impression,ɪ m p ɹ ɛ ʃ ə n,45
includes,ɪ n k l u d z,45
intended,ɪ n t ɛ n d ə d,45
interference,ɪ n t ɝ f ɪ ɹ ə n s,45
load,l oʊ d,45
lucy,l u s i,45
meat,m i t,45
medium,m i d i ə m,45
mold,m oʊ l d,45
mounted,m aʊ n t ə d,45
nearby,n ɪ ɹ b aɪ,45
offers,ɔ f ɝ z,45
offices,ɔ f ə s ə z,45
pennsylvania,p ɛ n s ə l v eɪ n j ə,45
prime,p ɹ aɪ m,45
promise,p ɹ ɑ m ə s,45
promised,p ɹ ɑ m ə s t,45
qualities,k w ɑ l ə t i z,45
referred,ɹ ə f ɝ d,45
residential,ɹ ɛ z ɪ d ɛ n tʃ ə l,45
riding,ɹ aɪ d ɪ ŋ,45
sheet,ʃ i t,45
steel,s t i l,45
sum,s ʌ m,45
target,t ɑ ɹ ɡ ə t,45
taxes,t æ k s ə z,45
terrible,t ɛ ɹ ə b ə l,45
universal,j u n ə v ɝ s ə l,45
valuable,v æ l j ə b ə l,45
watson,w ɑ t s ə n,45
accomplished,ə k ɑ m p l ɪ ʃ t,44
acres,eɪ k ɝ z,44
adam,æ d ə m,44
admitted,ə d m ɪ t ə d,44
agent,eɪ dʒ ə n t,44
amounts,ə m aʊ n t s,44
answers,æ n s ɝ z,44
arranged,ɝ eɪ n dʒ d,44
asia,eɪ ʒ ə,44
brush,b ɹ ʌ ʃ,44
burden,b ɝ d ə n,44
changing,tʃ eɪ n dʒ ɪ ŋ,44
climbed,k l aɪ m d,44
collected,k ə l ɛ k t ə d,44
confused,k ə n f j u z d,44
confusion,k ə n f j u ʒ ə n,44
considerably,k ə n s ɪ d ɝ ə b l i,44
continuous,k ə n t ɪ n j u ə s,44
contribute,k ə n t ɹ ɪ b j u t,44
developments,d ɪ v ɛ l ə p m ə n t s,44
driven,d ɹ ɪ v ə n,44
enjoy,ɛ n dʒ ɔɪ,44
errors,ɛ ɹ ɝ z,44
expensive,ɪ k s p ɛ n s ɪ v,44
extensive,ɪ k s t ɛ n s ɪ v,44
fired,f aɪ ɝ d,44
fun,f ʌ n,44
hans,h ɑ n s,44
helping,h ɛ l p ɪ ŋ,44
hundreds,h ʌ n d ɹ ə d z,44
lies,l aɪ z,44
listed,l ɪ s t ə d,44
lovely,l ʌ v l i,44
mama,m ɑ m ə,44
manchester,m æ n tʃ ɛ s t ɝ,44
mobile,m oʊ b ə l,44
mostly,m oʊ s t l i,44
odd,ɑ d,44
opinions,ə p ɪ n j ə n z,44
origin,ɔ ɹ ə dʒ ə n,44
oxygen,ɑ k s ə dʒ ə n,44
path,p æ θ,44
pilot,p aɪ l ə t,44
pounds,p aʊ n d z,44
recognition,ɹ ɛ k ə ɡ n ɪ ʃ ə n,44
sale,s eɪ l,44
seeking,s i k ɪ ŋ,44
shoes,ʃ u z,44
slaves,s l eɪ v z,44
snake,s n eɪ k,44
spirits,s p ɪ ɹ ə t s,44
suffering,s ʌ f ɝ ɪ ŋ,44
tables,t eɪ b ə l z,44
thickness,θ ɪ k n ə s,44
volumes,v ɑ l j u m z,44
warning,w ɔ ɹ n ɪ ŋ,44
washing,w ɑ ʃ ɪ ŋ,44
wisdom,w ɪ z d ə m,44
younger,j ʌ ŋ ɡ ɝ,44
believes,b ɪ l i v z,43
bureau,b j ʊ ɹ oʊ,43
catch,k æ tʃ,43
cloth,k l ɔ θ,43
coat,k oʊ t,43
comfort,k ʌ m f ɝ t,43
concerns,k ə n s ɝ n z,43
consists,k ə n s ɪ s t s,43
core,k ɔ ɹ,43
dancing,d æ n s ɪ ŋ,43
darkness,d ɑ ɹ k n ə s,43
dealing,d i l ɪ ŋ,43
dirt,d ɝ t,43
drama,d ɹ ɑ m ə,43
emotions,ɪ m oʊ ʃ ə n z,43
environment,ɪ n v aɪ ɹ ə n m ə n t,43
explanation,ɛ k s p l ə n eɪ ʃ ə n,43
external,ɪ k s t ɝ n ə l,43
flying,f l aɪ ɪ ŋ,43
grown,ɡ ɹ oʊ n,43
heads,h ɛ d z,43
heaven,h ɛ v ə n,43
identification,aɪ d ɛ n t ə f ə k eɪ ʃ ə n,43
insisted,ɪ n s ɪ s t ə d,43
investment,ɪ n v ɛ s t m ə n t,43
iron,aɪ ɝ n,43
lawyer,l ɔ j ɝ,43
lifted,l ɪ f t ə d,43
liquor,l ɪ k ɝ,43
marketing,m ɑ ɹ k ə t ɪ ŋ,43
mental,m ɛ n t ə l,43
mountains,m aʊ n t ə n z,43
occur,ə k ɝ,43
pace,p eɪ s,43
porch,p ɔ ɹ tʃ,43
rapid,ɹ æ p ə d,43
raw,ɹ ɑ,43
reaching,ɹ i tʃ ɪ ŋ,43
reader,ɹ i d ɝ,43
readily,ɹ ɛ d ə l i,43
recorded,ɹ ə k ɔ ɹ d ə d,43
recreation,ɹ ɛ k ɹ i eɪ ʃ ə n,43
republic,ɹ i p ʌ b l ə k,43
resulting,ɹ ɪ z ʌ l t ɪ ŋ,43
route,ɹ u t,43
salary,s æ l ɝ i,43
saved,s eɪ v d,43
separated,s ɛ p ɝ eɪ t ə d,43
ships,ʃ ɪ p s,43
switch,s w ɪ tʃ,43
technology,t ɛ k n ɑ l ə dʒ i,43
tend,t ɛ n d,43
tour,t ʊ ɹ,43
transportation,t ɹ æ n s p ɝ t eɪ ʃ ə n,43
warfare,w ɔ ɹ f ɛ ɹ,43
whenever,w ɛ n ɛ v ɝ,43
adams,æ d ə m z,42
anne,æ n,42
anxiety,æ ŋ z aɪ ə t i,42
anybody,ɛ n i b ə d i,42
appointed,ə p ɔɪ n t ə d,42
bag,b æ ɡ,42
bound,b aʊ n d,42
civilization,s ɪ v ə l ɪ z eɪ ʃ ə n,42
comment,k ɑ m ɛ n t,42
cooling,k u l ɪ ŋ,42
crossed,k ɹ ɔ s t,42
demanded,d ɪ m æ n d ə d,42
distinct,d ɪ s t ɪ ŋ k t,42
distinguished,d ɪ s t ɪ ŋ ɡ w ɪ ʃ t,42
ease,i z,42
editorial,ɛ d ə t ɔ ɹ i ə l,42
engineer,ɛ n dʒ ə n ɪ ɹ,42
excess,ɛ k s ɛ s,42
exists,ɪ ɡ z ɪ s t s,42
express,ɪ k s p ɹ ɛ s,42
golden,ɡ oʊ l d ə n,42
guns,ɡ ʌ n z,42
hardy,h ɑ ɹ d i,42
hate,h eɪ t,42
holds,h oʊ l d z,42
increasingly,ɪ n k ɹ i s ɪ ŋ l i,42
journal,dʒ ɝ n ə l,42
linda,l ɪ n d ə,42
lots,l ɑ t s,42
muscle,m ʌ s ə l,42
nineteenth,n aɪ n t i n θ,42
obtain,ə b t eɪ n,42
particles,p ɑ ɹ t ə k ə l z,42
possibilities,p ɑ s ə b ɪ l ə t i z,42
pride,p ɹ aɪ d,42
prison,p ɹ ɪ z ə n,42
rachel,ɹ eɪ tʃ ə l,42
reactions,ɹ i æ k ʃ ə n z,42
reduction,ɹ ə d ʌ k ʃ ə n,42
reflected,ɹ ə f l ɛ k t ə d,42
regional,ɹ i dʒ ə n ə l,42
replaced,ɹ i p l eɪ s t,42
reply,ɹ ɪ p l aɪ,42
seeds,s i d z,42
skill,s k ɪ l,42
smooth,s m u ð,42
suffered,s ʌ f ɝ d,42
sufficiently,s ə f ɪ ʃ ə n t l i,42
threat,θ ɹ ɛ t,42
throw,θ ɹ oʊ,42
touched,t ʌ tʃ t,42
unlike,ə n l aɪ k,42
urban,ɝ b ə n,42
varied,v ɛ ɹ i d,42
varying,v ɛ ɹ i ɪ ŋ,42
wages,w eɪ dʒ ə z,42
waters,w ɔ t ɝ z,42
weapon,w ɛ p ə n,42
wire,w aɪ ɝ,42
arc,ɑ ɹ k,41
assumption,ə s ʌ m p ʃ ə n,41
bread,b ɹ ɛ d,41
brothers,b ɹ ʌ ð ɝ z,41
carl,k ɑ ɹ l,41
communities,k ə m j u n ə t i z,41
comparable,k ɑ m p ɝ ə b ə l,41
constantly,k ɑ n s t ə n t l i,41
continues,k ə n t ɪ n j u z,41
describe,d ɪ s k ɹ aɪ b,41
display,d ɪ s p l eɪ,41
distinction,d ɪ s t ɪ ŋ k ʃ ə n,41
downtown,d aʊ n t aʊ n,41
favorite,f eɪ v ɝ ɪ t,41
fed,f ɛ d,41
francisco,f ɹ æ n s ɪ s k oʊ,41
funny,f ʌ n i,41
henrietta,h ɛ n ɹ i ɛ t ə,41
institution,ɪ n s t ɪ t u ʃ ə n,41
involves,ɪ n v ɑ l v z,41
kate,k eɪ t,41
limits,l ɪ m ə t s,41
match,m æ tʃ,41
musicians,m j u z ɪ ʃ ə n z,41
opposed,ə p oʊ z d,41
participation,p ɑ ɹ t ɪ s ə p eɪ ʃ ə n,41
pike,p aɪ k,41
pleased,p l i z d,41
proposal,p ɹ ə p oʊ z ə l,41
psychological,s aɪ k ə l ɑ dʒ ɪ k ə l,41
queen,k w i n,41
rare,ɹ ɛ ɹ,41
rarely,ɹ ɛ ɹ l i,41
remaining,ɹ ɪ m eɪ n ɪ ŋ,41
removal,ɹ ɪ m u v ə l,41
representatives,ɹ ɛ p ɹ ə z ɛ n t ə t ɪ v z,41
restaurant,ɹ ɛ s t ɝ ɑ n t,41
rough,ɹ ʌ f,41
sake,s eɪ k,41
seed,s i d,41
sell,s ɛ l,41
shift,ʃ ɪ f t,41
smoke,s m oʊ k,41
societies,s ə s aɪ ə t i z,41
spending,s p ɛ n d ɪ ŋ,41
steady,s t ɛ d i,41
storage,s t ɔ ɹ ə dʒ,41
teach,t i tʃ,41
tissue,t ɪ s j u,41
vice,v aɪ s,41
virtually,v ɝ tʃ u ə l i,41
visited,v ɪ z ə t ə d,41
whereas,w ɛ ɹ æ z,41
writes,ɹ aɪ t s,41
afford,ə f ɔ ɹ d,40
approved,ə p ɹ u v d,40
atlantic,ə t l æ n t ɪ k,40
atoms,æ t ə m z,40
automatic,ɔ t ə m æ t ɪ k,40
bars,b ɑ ɹ z,40
bob,b ɑ b,40
brings,b ɹ ɪ ŋ z,40
burned,b ɝ n d,40
combined,k ə m b aɪ n d,40
composed,k ə m p oʊ z d,40
conscience,k ɑ n ʃ ə n s,40
criticism,k ɹ ɪ t ɪ s ɪ z ə m,40
customers,k ʌ s t ə m ɝ z,40
dean,d i n,40
decide,d ɪ s aɪ d,40
democrats,d ɛ m ə k ɹ æ t s,40
dependent,d ɪ p ɛ n d ə n t,40
desegregation,d ɪ s ɛ ɡ ɹ ə ɡ eɪ ʃ ə n,40
discover,d ɪ s k ʌ v ɝ,40
drawing,d ɹ ɔ ɪ ŋ,40
eleven,ɪ l ɛ v ə n,40
exception,ɪ k s ɛ p ʃ ə n,40
existed,ɪ ɡ z ɪ s t ə d,40
finger,f ɪ ŋ ɡ ɝ,40
focus,f oʊ k ə s,40
glance,ɡ l æ n s,40
goals,ɡ oʊ l z,40
grace,ɡ ɹ eɪ s,40
guidance,ɡ aɪ d ə n s,40
handsome,h æ n s ə m,40
happens,h æ p ə n z,40
highway,h aɪ w eɪ,40
illinois,ɪ l ə n ɔɪ,40
improvement,ɪ m p ɹ u v m ə n t,40
indicates,ɪ n d ɪ k eɪ t s,40
intense,ɪ n t ɛ n s,40
joy,dʒ ɔɪ,40
laboratory,l æ b ɹ ə t ɔ ɹ i,40
languages,l æ ŋ ɡ w ə dʒ ə z,40
legislative,l ɛ dʒ ə s l eɪ t ɪ v,40
missed,m ɪ s t,40
